support,itemsets
0.022388059701492536,frozenset({'Bag Boy Beverage Holder'})
0.02465931213497729,frozenset({'Bridgestone e6 Straight Distance NFL Carolina'})
0.02482154445165477,frozenset({'Bridgestone e6 Straight Distance NFL San Dieg'})
0.020603504218040233,frozenset({'Bridgestone e6 Straight Distance NFL Tennesse'})
0.022793640493186242,frozenset({'Clicgear 8.0 Shoe Brush'})
0.0227125243348475,frozenset({'Clicgear Rovic Cooler Bag'})
0.024497079818299804,"frozenset({""Columbia Men's PFG Anchor Tough T-Shirt""})"
0.6297858533419857,"frozenset({""Diamondback Women's Serene Classic Comfort Bi""})"
0.025794938351719664,frozenset({'ENO Atlas Hammock Straps'})
0.7084685269305646,frozenset({'Field & Stream Sportsman 16 Gun Fire Safe'})
0.0240914990266061,frozenset({'Glove It Imperial Golf Towel'})
0.024010382868267358,frozenset({'Glove It Urban Brick Golf Towel'})
0.0240914990266061,"frozenset({""Glove It Women's Imperial Golf Glove""})"
0.023118105126541208,"frozenset({""Glove It Women's Mod Oval 3-Zip Carry All Gol""})"
0.021982478909798833,"frozenset({""Glove It Women's Mod Oval Golf Glove""})"
0.022874756651524983,"frozenset({""Hirzl Men's Hybrid Golf Glove""})"
0.02474042829331603,"frozenset({""Hirzl Women's Hybrid Golf Glove""})"
0.02344256975989617,"frozenset({""Hirzl Women's Soffft Flex Golf Glove""})"
0.02498377676833225,"frozenset({""LIJA Women's Eyelet Sleeveless Golf Polo""})"
0.024415963659961064,frozenset({'Nike Dri-FIT Crew Sock 6 Pack'})
0.7867456197274497,"frozenset({""Nike Men's CJ Elite 2 TD Football Cleat""})"
0.025713822193380923,"frozenset({""Nike Men's Comfort 2 Slide""})"
0.023767034393251136,"frozenset({""Nike Men's Deutschland Weltmeister Winners Bl""})"
0.7660609993510707,"frozenset({""Nike Men's Dri-FIT Victory Golf Polo""})"
0.5967715768981181,"frozenset({""Nike Men's Free 5.0+ Running Shoe""})"
0.022144711226476314,"frozenset({""Nike Women's Legend V-Neck T-Shirt""})"
0.025470473718364698,"frozenset({""Nike Women's Tempo Shorts""})"
0.7393737832576249,"frozenset({""O'Brien Men's Neoprene Life Vest""})"
0.6695327709279688,frozenset({'Pelican Sunstream 100 Kayak'})
0.8125405580791694,frozenset({'Perfect Fitness Perfect Rip Deck'})
0.024010382868267358,"frozenset({""TYR Boys' Team Digi Jammer""})"
0.02255029201817002,frozenset({'Team Golf New England Patriots Putter Grip'})
0.02336145360155743,frozenset({'Team Golf Pittsburgh Steelers Putter Grip'})
0.02328033744321869,frozenset({'Team Golf San Francisco Giants Putter Grip'})
0.025064892926670992,frozenset({'Team Golf St. Louis Cardinals Putter Grip'})
0.024010382868267358,frozenset({'Team Golf Tennessee Volunteers Putter Grip'})
0.0240914990266061,frozenset({'Team Golf Texas Longhorns Putter Grip'})
0.02344256975989617,frozenset({'Titleist Pro V1 High Numbers Personalized Gol'})
0.02319922128487995,frozenset({'Titleist Pro V1x Golf Balls'})
0.021333549643088902,frozenset({'Titleist Pro V1x High Numbers Golf Balls'})
0.0240914990266061,frozenset({'Titleist Pro V1x High Numbers Personalized Go'})
0.024334847501622323,"frozenset({""Top Flite Women's 2014 XL Hybrid""})"
0.5478585334198572,"frozenset({""Under Armour Girls' Toddler Spine Surge Runni""})"
0.023685918234912395,frozenset({'Under Armour Hustle Storm Medium Duffle Bag'})
0.020116807268007787,"frozenset({""Under Armour Kids' Mercenary Slide""})"
0.02263140817650876,"frozenset({""Under Armour Men's Compression EV SL Slide""})"
0.02246917585983128,"frozenset({""Under Armour Men's Tech II T-Shirt""})"
0.0227125243348475,"frozenset({""Under Armour Women's Ignite PIP VI Slide""})"
0.024497079818299804,"frozenset({""Under Armour Women's Ignite Slide""})"
0.022874756651524983,"frozenset({""Under Armour Women's Micro G Skulpt Running S""})"
0.020765736534717714,"frozenset({""adidas Kids' F5 Messi FG Soccer Cleat""})"
0.024172615184944842,"frozenset({""adidas Men's F10 Messi TRX FG Soccer Cleat""})"
0.02328033744321869,"frozenset({""adidas Men's Germany Black Crest Away Tee""})"
0.02498377676833225,frozenset({'adidas Youth Germany Black/Red Away Match Soc'})
0.016060999351070734,"frozenset({""Diamondback Women's Serene Classic Comfort Bi"", 'Bag Boy Beverage Holder'})"
0.017683322517845556,"frozenset({'Bag Boy Beverage Holder', 'Field & Stream Sportsman 16 Gun Fire Safe'})"
0.018332251784555484,"frozenset({'Bag Boy Beverage Holder', ""Nike Men's CJ Elite 2 TD Football Cleat""})"
0.018981181051265412,"frozenset({'Bag Boy Beverage Holder', ""Nike Men's Dri-FIT Victory Golf Polo""})"
0.014844256975989617,"frozenset({""Nike Men's Free 5.0+ Running Shoe"", 'Bag Boy Beverage Holder'})"
0.01743997404282933,"frozenset({'Bag Boy Beverage Holder', ""O'Brien Men's Neoprene Life Vest""})"
0.01654769630110318,"frozenset({'Pelican Sunstream 100 Kayak', 'Bag Boy Beverage Holder'})"
0.01963011031797534,"frozenset({'Bag Boy Beverage Holder', 'Perfect Fitness Perfect Rip Deck'})"
0.01346528228423102,"frozenset({""Under Armour Girls' Toddler Spine Surge Runni"", 'Bag Boy Beverage Holder'})"
0.016060999351070734,"frozenset({""Diamondback Women's Serene Classic Comfort Bi"", 'Bridgestone e6 Straight Distance NFL Carolina'})"
0.018494484101232965,"frozenset({'Bridgestone e6 Straight Distance NFL Carolina', 'Field & Stream Sportsman 16 Gun Fire Safe'})"
0.020522388059701493,"frozenset({""Nike Men's CJ Elite 2 TD Football Cleat"", 'Bridgestone e6 Straight Distance NFL Carolina'})"
0.020684620376378974,"frozenset({""Nike Men's Dri-FIT Victory Golf Polo"", 'Bridgestone e6 Straight Distance NFL Carolina'})"
0.016709928617780662,"frozenset({""Nike Men's Free 5.0+ Running Shoe"", 'Bridgestone e6 Straight Distance NFL Carolina'})"
0.019792342634652824,"frozenset({'Bridgestone e6 Straight Distance NFL Carolina', ""O'Brien Men's Neoprene Life Vest""})"
0.01808890330953926,"frozenset({'Pelican Sunstream 100 Kayak', 'Bridgestone e6 Straight Distance NFL Carolina'})"
0.021414665801427646,"frozenset({'Bridgestone e6 Straight Distance NFL Carolina', 'Perfect Fitness Perfect Rip Deck'})"
0.016466580142764437,"frozenset({""Under Armour Girls' Toddler Spine Surge Runni"", 'Bridgestone e6 Straight Distance NFL Carolina'})"
0.01752109020116807,"frozenset({""Diamondback Women's Serene Classic Comfort Bi"", 'Bridgestone e6 Straight Distance NFL San Dieg'})"
0.018981181051265412,"frozenset({'Bridgestone e6 Straight Distance NFL San Dieg', 'Field & Stream Sportsman 16 Gun Fire Safe'})"
0.02084685269305646,"frozenset({""Nike Men's CJ Elite 2 TD Football Cleat"", 'Bridgestone e6 Straight Distance NFL San Dieg'})"
0.021576898118105127,"frozenset({""Nike Men's Dri-FIT Victory Golf Polo"", 'Bridgestone e6 Straight Distance NFL San Dieg'})"
0.01711550940947437,"frozenset({""Nike Men's Free 5.0+ Running Shoe"", 'Bridgestone e6 Straight Distance NFL San Dieg'})"
0.020035691109669046,"frozenset({'Bridgestone e6 Straight Distance NFL San Dieg', ""O'Brien Men's Neoprene Life Vest""})"
0.018413367942894224,"frozenset({'Pelican Sunstream 100 Kayak', 'Bridgestone e6 Straight Distance NFL San Dieg'})"
0.021982478909798833,"frozenset({'Bridgestone e6 Straight Distance NFL San Dieg', 'Perfect Fitness Perfect Rip Deck'})"
0.01581765087605451,"frozenset({""Under Armour Girls' Toddler Spine Surge Runni"", 'Bridgestone e6 Straight Distance NFL San Dieg'})"
0.01427644386761843,"frozenset({""Diamondback Women's Serene Classic Comfort Bi"", 'Bridgestone e6 Straight Distance NFL Tennesse'})"
